driverId,week,hours-logged,miles-logged
90,21,65,900
235,20,54,1000
633,28,60,2000
371,19,63,3600
448,42,80,300
170,47,58,700
781,1,61,2600
845,15,74,1500
206,42,62,3900
709,38,74,0
190,40,63,1000
598,5,75,1000
505,52,59,3600
180,15,80,600
529,40,70,3300
600,8,70,2500
263,16,71,0
333,4,67,1400
485,45,54,2400
977,43,51,3900
817,17,80,3700
459,28,52,400
499,34,61,3100
175,43,66,500
234,33,79,1200
927,42,72,300
762,51,58,1500
62,33,61,1600
313,10,58,1700
974,14,73,2900
645,5,67,3200
279,2,57,1500
79,1,78,3800
122,12,69,300
361,15,56,2600
982,31,64,800
863,10,78,3000
836,6,80,0
867,43,65,2500
975,3,64,2300
752,35,80,700
74,39,53,3500
478,48,68,2800
854,47,52,4000
473,27,63,700
340,49,65,1700
257,39,78,3200
758,9,75,3200
838,22,57,1700
218,44,74,800
287,38,53,0
436,4,64,2800
477,6,71,3900
590,38,75,1300
498,52,76,2100
81,8,53,2300
177,45,73,700
932,16,70,2400
687,29,56,900
809,44,73,200
76,24,78,2800
254,23,78,1300
459,21,55,400
132,15,66,1000
651,1,65,1400
656,48,68,1800
531,23,51,400
951,49,75,2000
964,39,51,3200
825,7,65,3300
965,9,58,200
134,49,76,1000
684,26,65,3500
629,26,79,1000
335,40,53,3100
264,37,69,200
599,47,51,3500
619,45,54,2600
183,20,60,2800
305,47,78,3400
627,10,50,900
149,33,70,1600
474,20,61,3500
811,37,72,1100
654,18,64,100
44,21,66,2800
338,24,72,1800
115,19,61,1500
589,43,65,200
522,21,68,700
522,16,66,400
887,50,69,3100
331,32,79,1600
267,7,80,3800
684,46,56,3000
326,24,72,1100
980,41,50,400
319,26,61,3700
876,3,61,2400
411,28,62,3400
29,46,66,3000
375,41,71,600
748,33,79,1900
201,12,68,2200
371,21,56,4000
427,8,80,700
491,46,66,1700
362,26,79,4000
837,15,50,1800
603,6,56,3100
535,34,56,900
305,51,69,300
383,44,68,200
250,48,65,1500
507,41,53,200
574,31,76,1400
14,8,74,600
60,45,67,4000
631,13,71,2000
83,43,78,400
373,26,73,3600
426,19,64,2700
225,23,68,100
736,30,80,1700
491,52,52,3000
166,38,63,2200
216,44,75,300
466,48,68,3700
754,32,64,1300
291,5,68,2800
160,32,62,3900
969,47,57,2100
444,44,51,1000
515,46,55,3900
519,26,69,200
838,18,58,400
364,42,51,1100
694,19,67,100
737,30,73,1700
338,41,79,1100
337,20,71,4000
944,49,57,2700
932,46,73,1700
54,44,69,0
359,34,72,300
654,33,50,1100
23,26,64,3300
762,7,57,3900
264,36,73,1200
726,18,67,2500
526,49,62,1200
138,39,63,3500
671,37,66,1000
92,42,67,1800
273,14,59,2300
119,11,51,900
786,43,75,2600
706,11,70,1400
505,10,62,500
598,3,68,1200
952,29,51,2300
951,13,77,2600
644,1,58,4000
17,38,63,1100
516,25,51,2700
850,15,78,1400
277,17,51,800
337,10,65,3700
477,35,73,4000
666,20,77,500
914,13,72,2100
29,46,55,3000
843,25,73,4000
101,43,51,3200
151,40,80,1000
409,45,65,3200
60,13,77,1400
275,15,72,1200
549,21,71,0
454,37,58,700
373,39,76,3600
301,39,80,1400
809,6,69,1700
194,31,51,3400
210,6,78,2000
11,43,79,3400
577,34,58,2000
69,26,63,1200
706,13,58,2900
68,32,51,3300
277,13,71,1200
585,9,56,500
557,27,61,500
819,51,64,2100
814,2,61,2100
71,27,61,1300
249,9,51,1800
78,10,71,2300
449,17,60,1800
657,50,55,0
714,35,58,1600
489,22,73,0
567,40,52,4000
438,45,80,500
748,36,79,3900
165,10,63,2200
606,17,50,1300
654,21,71,3600
651,13,76,1300
223,7,73,1500
152,48,67,300
675,31,71,3400
306,28,73,1100
455,45,64,2800
728,39,71,3000
742,5,50,3400
34,36,75,700
695,32,54,3500
752,33,59,100
10,21,76,0
593,11,77,3100
752,2,54,2500
813,24,71,2000
122,11,59,1800
953,12,69,2200
135,20,78,3800
77,13,71,200
903,25,58,2600
145,8,76,500
455,7,55,3300
884,42,58,0
514,34,77,500
307,44,57,3300
648,2,69,1100
564,49,75,3500
128,20,77,700
920,8,78,2200
966,13,66,800
816,48,64,2700
942,1,50,1400
690,2,55,1600
198,23,78,3300
225,15,54,700
116,43,70,400
397,50,53,200
1004,38,80,2600
243,1,68,1400
113,37,70,100
688,31,53,600
22,41,54,2200
738,2,78,1800
552,21,64,1100
159,27,77,3900
736,5,71,3000
364,43,72,0
851,42,64,1800
631,17,57,3400
584,46,65,3000
994,15,59,1300
674,43,66,1000
993,8,53,900
628,30,72,3100
694,49,64,3000
823,35,77,2600
143,3,74,2100
329,17,61,700
333,40,78,1100
827,6,69,700
195,41,79,1100
131,30,57,3200
679,16,76,3700
878,10,78,1100
684,41,50,0
984,14,56,1300
200,12,67,3100
238,30,73,100
599,6,71,2600
680,13,58,1000
334,3,78,3500
49,37,54,3400
407,36,70,3100
64,52,76,3200
318,28,55,2900
124,36,75,1700
31,40,61,3000
548,49,72,2200
801,29,67,2100
512,30,54,600
836,30,76,3700
289,25,67,600
761,6,55,0
62,17,51,2700
957,46,78,2200
392,4,67,1500
